TargetVariable,age,job,marital,month,education,default,housing,loan,day_of_week,campaign,previous,poutcome,year,euribor3m,emp.var.rate,prod_indices
0,38,employees,divorced,jun,basic,0,1,0,wed,6,0,nonexistent,2008,1.13368,1.17812,-0.446428
0,35,employees,married,may,intermediate,0,0,0,tue,1,0,nonexistent,2008,1.07734,1.00307,0.605572
0,38,employees,single,apr,high,0,1,0,mon,1,0,nonexistent,2009,-0.756895,-0.689088,0.736121
0,34,employees,married,nov,basic,0,1,0,tue,1,0,nonexistent,2008,0.703691,0.302869,0.124252
0,36,executives,married,nov,intermediate,0,0,0,wed,2,0,nonexistent,2008,0.686151,0.302869,0.124252
0,68,executives,married,dec,basic,0,1,0,thu,1,2,failure,2009,-1.12523,-1.38929,-1.54043
0,30,employees,married,jul,high,0,1,0,thu,27,0,nonexistent,2008,1.13421,1.17812,-0.327017
0,35,employees,divorced,may,intermediate,0,0,0,wed,1,0,nonexistent,2009,-0.822802,-0.689088,0.949409
0,45,employees,married,may,basic,0,0,0,tue,1,0,nonexistent,2009,-0.789317,-0.689088,0.949409
0,41,employees,divorced,nov,basic,0,1,0,tue,2,0,nonexistent,2008,0.703691,0.302869,0.124252
0,52,employees,married,mar,high,0,1,0,tue,1,1,failure,2010,-1.16031,-0.689088,-0.127197
0,25,executives,single,jul,intermediate,0,1,0,mon,1,0,nonexistent,2008,1.13262,1.17812,-0.327017
0,36,employees,married,aug,high,0,1,0,wed,1,0,nonexistent,2008,1.13474,1.17812,-0.00703283
0,31,employees,married,jun,basic,0,1,0,tue,3,0,nonexistent,2008,1.08159,1.17812,-0.446428
0,27,employees,single,may,intermediate,0,1,0,fri,2,0,nonexistent,2008,1.07681,1.00307,0.605572
0,30,executives,single,may,intermediate,0,1,0,mon,2,0,nonexistent,2009,-0.813235,-0.689088,0.949409
0,25,employees,single,may,intermediate,0,0,1,thu,3,0,nonexistent,2008,1.07947,1.00307,0.605572
0,36,executives,married,may,basic,0,0,0,mon,3,0,nonexistent,2009,-0.784002,-0.689088,0.949409
0,54,non-employed,married,jun,intermediate,0,0,0,wed,16,0,nonexistent,2008,1.13368,1.17812,-0.446428
0,55,employees,divorced,jul,basic,0,1,1,tue,1,0,nonexistent,2008,1.13315,1.17812,-0.327017
0,53,employees,divorced,mar,high,0,1,1,thu,1,1,failure,2010,-1.15606,-0.689088,-0.127197
0,48,executives,divorced,jul,intermediate,0,1,0,wed,3,0,nonexistent,2008,1.13421,1.17812,-0.327017
0,54,employees,married,may,basic,0,1,0,wed,2,0,nonexistent,2008,1.07734,1.00307,0.605572
0,51,executives,divorced,jul,intermediate,0,0,0,fri,2,0,nonexistent,2008,1.13421,1.17812,-0.327017
0,40,employees,married,nov,intermediate,0,1,0,tue,5,0,nonexistent,2008,0.703691,0.302869,0.124252
0,25,employees,single,jun,high,0,0,0,mon,7,0,nonexistent,2008,1.13262,1.17812,-0.446428
0,36,employees,single,may,intermediate,0,0,0,thu,3,0,nonexistent,2008,1.07947,1.00307,0.605572
0,54,executives,single,may,high,0,1,1,thu,1,1,failure,2009,-0.798353,-0.689088,0.949409
0,31,employees,married,aug,basic,0,0,0,fri,2,0,nonexistent,2008,1.13474,1.17812,-0.00703283
0,32,employees,single,jul,basic,0,1,0,thu,2,0,nonexistent,2008,1.13156,1.17812,-0.327017
0,39,employees,married,jul,intermediate,0,1,0,mon,3,0,nonexistent,2008,1.13262,1.17812,-0.327017
0,55,employees,married,aug,basic,0,0,0,wed,13,0,nonexistent,2008,1.13474,1.17812,-0.00703283
0,40,employees,divorced,jun,intermediate,0,0,0,mon,1,0,nonexistent,2008,1.08213,1.17812,-0.446428
0,28,employees,single,jul,intermediate,0,1,0,mon,1,0,nonexistent,2008,1.13262,1.17812,-0.327017
0,56,non-employed,married,nov,basic,0,0,0,fri,2,1,failure,2008,0.633532,0.302869,0.124252
0,31,employees,married,jul,intermediate,0,1,0,thu,1,0,nonexistent,2008,1.13421,1.17812,-0.327017
0,32,employees,divorced,apr,intermediate,0,0,0,thu,3,0,nonexistent,2009,-0.74095,-0.689088,0.736121
0,34,employees,divorced,jul,intermediate,0,0,1,tue,2,0,nonexistent,2008,1.13315,1.17812,-0.327017
0,31,employees,divorced,nov,intermediate,0,1,0,mon,2,0,nonexistent,2008,0.723888,0.302869,0.124252
0,32,employees,married,may,basic,0,1,1,mon,1,1,failure,2009,-0.813235,-0.689088,0.949409
0,32,employees,single,jul,high,0,0,0,thu,1,0,nonexistent,2008,1.13156,1.17812,-0.327017
0,40,employees,married,jun,high,0,1,0,tue,2,0,nonexistent,2008,1.13315,1.17812,-0.446428
0,25,employees,single,jun,basic,0,0,0,wed,19,0,nonexistent,2008,1.13209,1.17812,-0.446428
0,45,employees,divorced,aug,basic,0,1,1,tue,1,0,nonexistent,2010,-1.02796,-0.630737,0.327002
0,26,employees,divorced,jul,intermediate,0,0,0,mon,3,0,nonexistent,2008,1.13368,1.17812,-0.327017
0,35,executives,single,aug,high,0,0,0,thu,1,0,nonexistent,2008,1.13368,1.17812,-0.00703283
0,58,employees,married,aug,basic,0,0,0,wed,3,0,nonexistent,2008,1.13634,1.17812,-0.00703283
0,55,executives,married,jun,intermediate,0,1,1,fri,2,0,nonexistent,2008,1.13209,1.17812,-0.446428
0,44,employees,married,apr,basic,0,0,0,fri,1,2,failure,2009,-0.756895,-0.689088,0.736121
0,25,non-employed,married,jul,high,0,0,0,fri,15,0,nonexistent,2008,1.13421,1.17812,-0.327017
0,33,executives,married,may,intermediate,0,1,0,tue,2,0,nonexistent,2008,1.07787,1.00307,0.605572
0,38,executives,married,jun,basic,0,0,0,mon,3,0,nonexistent,2008,1.08213,1.17812,-0.446428
0,37,executives,married,aug,intermediate,0,0,0,tue,1,0,nonexistent,2008,1.13421,1.17812,-0.00703283
0,34,employees,married,may,intermediate,0,1,0,tue,3,0,nonexistent,2009,-0.817487,-0.689088,0.949409
0,30,employees,single,may,intermediate,0,0,0,tue,1,0,nonexistent,2008,1.07734,1.00307,0.605572
0,42,employees,married,nov,high,0,1,0,thu,2,1,success,2008,0.662765,0.302869,0.124252
0,43,executives,married,aug,intermediate,0,1,0,wed,7,0,nonexistent,2008,1.13474,1.17812,-0.00703283
0,40,executives,married,jul,high,0,0,0,thu,1,0,nonexistent,2008,1.13687,1.17812,-0.327017
0,28,executives,single,may,basic,0,1,0,tue,2,1,failure,2009,-0.817487,-0.689088,0.949409
0,40,employees,single,may,high,0,1,1,mon,2,0,nonexistent,2008,1.07787,1.00307,0.605572
0,48,employees,married,aug,high,0,1,1,wed,4,0,nonexistent,2008,1.13474,1.17812,-0.00703283
0,35,employees,married,apr,basic,0,0,0,fri,1,0,nonexistent,2009,-0.756895,-0.689088,0.736121
0,58,employees,married,aug,intermediate,0,0,0,fri,1,0,nonexistent,2008,1.13581,1.17812,-0.00703283
0,34,employees,married,jun,high,0,0,0,fri,7,0,nonexistent,2008,1.13634,1.17812,-0.446428
0,33,executives,married,may,intermediate,0,1,1,wed,2,0,nonexistent,2008,1.0784,1.00307,0.605572
0,31,employees,married,jul,basic,0,0,0,wed,1,0,nonexistent,2008,1.13102,1.17812,-0.327017
0,32,employees,single,aug,high,0,0,0,tue,3,0,nonexistent,2008,1.13421,1.17812,-0.00703283
0,30,executives,single,nov,intermediate,0,1,0,thu,2,1,failure,2008,0.662765,0.302869,0.124252
0,54,executives,married,nov,intermediate,0,1,0,tue,2,0,nonexistent,2008,0.703691,0.302869,0.124252
0,38,executives,married,may,basic,0,0,0,fri,1,0,nonexistent,2008,1.07787,1.00307,0.605572
0,46,executives,married,may,high,0,0,0,mon,1,0,nonexistent,2008,1.07787,1.00307,0.605572
0,26,employees,single,jun,basic,0,1,0,thu,2,0,nonexistent,2008,1.08266,1.17812,-0.446428
0,36,executives,married,jul,high,0,0,0,mon,2,0,nonexistent,2008,1.13262,1.17812,-0.327017
0,50,employees,married,jul,basic,0,1,0,wed,1,0,nonexistent,2008,1.13421,1.17812,-0.327017
0,35,employees,divorced,nov,high,0,1,0,fri,1,0,nonexistent,2008,0.633532,0.302869,0.124252
0,34,employees,single,nov,intermediate,0,1,0,mon,2,2,failure,2009,-1.11992,-1.62269,-2.34202
0,29,employees,married,aug,basic,0,1,0,fri,1,1,failure,2009,-1.04178,-1.33094,-3.18532
0,32,employees,married,jun,basic,0,1,1,tue,3,0,nonexistent,2008,1.13315,1.17812,-0.446428
0,36,employees,married,apr,intermediate,0,1,0,mon,2,0,nonexistent,2009,-0.756895,-0.689088,0.736121
0,46,employees,married,may,basic,0,0,1,tue,1,0,nonexistent,2008,1.07734,1.00307,0.605572
0,30,employees,single,nov,intermediate,0,0,0,tue,1,0,nonexistent,2008,0.703691,0.302869,0.124252
0,31,executives,single,may,intermediate,0,1,0,tue,3,0,nonexistent,2009,-0.817487,-0.689088,0.949409
0,29,employees,married,nov,intermediate,0,0,0,wed,1,0,nonexistent,2008,0.686151,0.302869,0.124252
0,26,non-employed,single,mar,basic,0,1,1,mon,4,1,failure,2009,-0.541103,-0.689088,1.69773
0,56,employees,married,aug,intermediate,0,1,0,tue,5,0,nonexistent,2008,1.13528,1.17812,-0.00703283
0,35,employees,married,jun,basic,0,0,1,thu,1,0,nonexistent,2008,1.13156,1.17812,-0.446428
0,33,executives,single,jul,high,0,1,0,mon,3,0,nonexistent,2008,1.13368,1.17812,-0.327017
0,30,non-employed,married,jun,intermediate,0,1,0,tue,1,0,nonexistent,2009,-0.832901,-1.33094,0.0741196
0,29,employees,single,aug,high,0,1,0,tue,1,0,nonexistent,2008,1.13687,1.17812,-0.00703283
0,42,employees,married,jun,basic,0,1,0,wed,3,0,nonexistent,2008,1.13368,1.17812,-0.446428
0,36,employees,single,jun,high,0,1,0,mon,1,0,nonexistent,2008,1.13262,1.17812,-0.446428
0,32,employees,married,may,high,0,1,0,mon,2,0,nonexistent,2009,-0.813235,-0.689088,0.949409
0,38,employees,married,may,basic,0,0,0,thu,3,0,nonexistent,2009,-0.830775,-0.689088,0.949409
0,47,employees,married,jun,high,0,0,0,thu,1,0,nonexistent,2008,1.13315,1.17812,-0.446428
0,32,employees,divorced,jul,high,0,1,0,thu,1,0,nonexistent,2008,1.13421,1.17812,-0.327017
0,30,employees,married,may,basic,0,1,1,thu,2,0,nonexistent,2008,1.07947,1.00307,0.605572
0,43,executives,married,nov,basic,0,1,0,tue,3,1,failure,2008,0.703691,0.302869,0.124252
0,36,employees,married,may,basic,0,1,0,mon,1,0,nonexistent,2009,-0.784002,-0.689088,0.949409
0,37,non-employed,married,nov,intermediate,0,0,0,wed,1,0,nonexistent,2008,0.686151,0.302869,0.124252
0,35,employees,married,may,intermediate,0,1,1,fri,3,0,nonexistent,2008,1.07787,1.00307,0.605572
0,30,executives,married,jul,high,0,1,0,wed,2,0,nonexistent,2008,1.13421,1.17812,-0.327017
0,36,employees,married,jun,intermediate,0,0,0,thu,3,0,nonexistent,2010,-1.11619,-0.630737,0.0818715
0,48,employees,married,may,basic,0,1,0,wed,2,0,nonexistent,2008,1.07894,1.00307,0.605572
0,56,non-employed,married,sep,intermediate,0,0,0,fri,1,2,failure,2009,-1.09866,-1.62269,-3.22397
0,58,non-employed,divorced,apr,high,0,0,0,thu,1,1,success,2009,-0.778155,-0.689088,0.736121
0,25,employees,single,may,basic,0,1,0,wed,1,0,nonexistent,2008,1.07894,1.00307,0.605572
0,42,employees,single,may,basic,0,1,0,wed,5,0,nonexistent,2009,-0.822802,-0.689088,0.949409
0,34,executives,married,may,intermediate,0,0,0,tue,2,0,nonexistent,2009,-0.817487,-0.689088,0.949409
0,34,executives,married,jun,intermediate,0,0,0,thu,8,0,nonexistent,2008,1.13156,1.17812,-0.446428
0,29,employees,single,jul,high,0,0,0,thu,14,0,nonexistent,2008,1.13687,1.17812,-0.327017
0,52,employees,married,jun,basic,0,1,0,mon,3,0,nonexistent,2008,1.08213,1.17812,-0.446428
0,55,executives,married,aug,intermediate,0,1,0,fri,7,0,nonexistent,2008,1.13421,1.17812,-0.00703283
0,31,employees,married,jun,intermediate,0,1,0,wed,1,0,nonexistent,2008,1.13368,1.17812,-0.446428
0,41,executives,married,jun,basic,0,0,0,thu,1,0,nonexistent,2008,1.08266,1.17812,-0.446428
0,38,employees,married,may,intermediate,0,0,1,thu,1,0,nonexistent,2008,1.07947,1.00307,0.605572
0,52,executives,married,oct,high,0,1,0,wed,1,1,failure,2010,-0.980129,-0.280635,-3.05486
0,46,employees,divorced,jul,intermediate,0,0,1,mon,2,0,nonexistent,2008,1.13368,1.17812,-0.327017
0,36,employees,divorced,may,high,0,0,0,mon,3,0,nonexistent,2008,1.0784,1.00307,0.605572
0,33,executives,single,apr,high,0,0,0,thu,1,0,nonexistent,2009,-0.74095,-0.689088,0.736121
0,48,employees,married,may,high,0,0,1,mon,2,0,nonexistent,2008,1.07787,1.00307,0.605572
0,35,employees,married,may,basic,0,0,0,mon,1,0,nonexistent,2008,1.07787,1.00307,0.605572
0,27,executives,single,may,high,0,1,0,thu,8,0,nonexistent,2009,-0.828649,-0.689088,0.949409
0,21,employees,single,jun,intermediate,0,1,0,wed,1,0,nonexistent,2009,-0.833964,-1.33094,0.0741196
0,28,executives,single,may,intermediate,0,1,0,wed,1,0,nonexistent,2009,-0.822802,-0.689088,0.949409
0,33,executives,married,aug,intermediate,0,1,0,thu,1,0,nonexistent,2008,1.13421,1.17812,-0.00703283
0,37,employees,divorced,may,intermediate,0,0,1,tue,1,0,nonexistent,2009,-0.789317,-0.689088,0.949409
0,24,employees,single,jul,intermediate,0,1,0,mon,2,0,nonexistent,2008,1.13368,1.17812,-0.327017
0,33,executives,married,aug,high,0,1,0,mon,2,0,nonexistent,2009,-1.04604,-1.33094,-3.18532
0,43,employees,married,jul,basic,0,1,1,thu,8,0,nonexistent,2008,1.13687,1.17812,-0.327017
0,31,employees,married,aug,basic,0,0,0,fri,5,0,nonexistent,2008,1.13581,1.17812,-0.00703283
0,56,non-employed,married,jul,basic,0,1,0,tue,1,0,nonexistent,2008,1.12996,1.17812,-0.327017
0,25,employees,married,jul,high,0,1,0,thu,5,0,nonexistent,2008,1.13687,1.17812,-0.327017
0,41,employees,single,jul,high,0,0,0,fri,2,0,nonexistent,2008,1.13421,1.17812,-0.327017
0,37,executives,single,may,intermediate,0,0,0,mon,5,0,nonexistent,2009,-0.784002,-0.689088,0.949409
0,57,employees,divorced,may,intermediate,0,0,0,fri,1,0,nonexistent,2008,1.07787,1.00307,0.605572
0,35,employees,single,may,high,0,0,0,wed,6,0,nonexistent,2009,-0.822802,-0.689088,0.949409
0,36,employees,married,jul,intermediate,0,1,0,mon,5,0,nonexistent,2008,1.13262,1.17812,-0.327017
0,25,employees,single,may,intermediate,0,0,0,fri,3,0,nonexistent,2008,1.08159,1.00307,0.605572
0,31,employees,married,aug,high,0,1,0,wed,10,0,nonexistent,2008,1.13474,1.17812,-0.00703283
0,35,employees,married,jun,intermediate,0,0,0,fri,1,0,nonexistent,2008,1.13634,1.17812,-0.446428
0,36,executives,married,may,intermediate,0,0,0,wed,1,0,nonexistent,2008,1.0784,1.00307,0.605572
0,30,employees,single,aug,intermediate,0,1,0,thu,7,0,nonexistent,2008,1.13687,1.17812,-0.00703283
0,54,executives,married,aug,high,0,1,0,fri,1,1,success,2009,-1.03541,-1.33094,-3.18532
0,32,executives,married,nov,high,0,0,0,thu,4,0,nonexistent,2008,0.662765,0.302869,0.124252
0,28,executives,single,may,high,0,1,0,tue,1,0,nonexistent,2009,-0.817487,-0.689088,0.949409
0,51,employees,married,may,basic,0,0,1,mon,2,1,failure,2009,-0.813235,-0.689088,0.949409
0,37,executives,single,jul,high,0,1,0,wed,1,0,nonexistent,2008,1.13368,1.17812,-0.327017
0,28,employees,married,may,high,0,0,0,mon,3,0,nonexistent,2008,1.07787,1.00307,0.605572
0,32,employees,single,may,intermediate,0,1,1,fri,2,0,nonexistent,2009,-0.839279,-0.689088,0.949409
0,35,employees,married,jul,intermediate,0,1,1,mon,1,0,nonexistent,2008,1.13262,1.17812,-0.327017
0,54,employees,divorced,may,basic,0,0,0,thu,2,0,nonexistent,2008,1.07947,1.00307,0.605572
0,42,employees,married,may,basic,0,0,0,wed,1,0,nonexistent,2009,-0.794632,-0.689088,0.949409
0,35,executives,married,oct,high,0,1,1,mon,1,0,nonexistent,2008,1.15388,0.302869,-0.0129594
0,53,executives,married,nov,high,0,1,1,tue,1,0,nonexistent,2008,0.703691,0.302869,0.124252
0,41,executives,married,apr,intermediate,0,1,0,fri,6,0,nonexistent,2009,-0.756895,-0.689088,0.736121
0,31,employees,married,may,high,0,0,0,wed,2,0,nonexistent,2008,1.07894,1.00307,0.605572
0,32,executives,single,jul,high,0,1,0,thu,1,0,nonexistent,2008,1.13421,1.17812,-0.327017
0,21,non-employed,single,jul,basic,0,0,0,thu,1,0,nonexistent,2010,-1.03381,-0.630737,-0.00648219
0,34,employees,married,aug,intermediate,0,1,0,wed,2,1,failure,2009,-1.03647,-1.33094,-3.18532
0,35,employees,married,jul,basic,0,1,0,mon,1,0,nonexistent,2008,1.13262,1.17812,-0.327017
0,41,executives,married,aug,high,0,0,1,fri,2,0,nonexistent,2008,1.13581,1.17812,-0.00703283
0,38,employees,married,jun,high,0,1,0,tue,9,0,nonexistent,2008,1.13315,1.17812,-0.446428
0,58,executives,married,may,high,0,1,1,fri,1,0,nonexistent,2009,-0.839279,-0.689088,0.949409
0,33,employees,married,may,basic,0,1,1,mon,2,0,nonexistent,2009,-0.813235,-0.689088,0.949409
0,39,employees,divorced,may,basic,0,1,0,fri,1,0,nonexistent,2009,-0.805794,-0.689088,0.949409
0,37,employees,married,may,intermediate,0,1,0,thu,3,0,nonexistent,2008,1.07681,1.00307,0.605572
0,41,employees,married,may,basic,0,0,0,tue,5,0,nonexistent,2008,1.07787,1.00307,0.605572
0,30,employees,single,jul,intermediate,0,0,1,wed,3,0,nonexistent,2008,1.13421,1.17812,-0.327017
0,27,non-employed,single,may,high,0,0,0,wed,1,1,failure,2009,-0.794632,-0.689088,0.949409
0,31,executives,married,aug,high,0,1,0,wed,2,0,nonexistent,2008,1.13474,1.17812,-0.00703283
0,54,non-employed,married,aug,high,0,0,0,mon,3,0,nonexistent,2009,-1.03381,-1.33094,-3.18532
0,21,employees,single,apr,basic,0,0,0,mon,2,0,nonexistent,2009,-0.756895,-0.689088,0.736121
0,33,employees,married,jun,intermediate,0,0,0,mon,1,1,failure,2010,-1.12098,-0.630737,0.0818715
0,81,non-employed,divorced,oct,basic,0,1,0,thu,1,1,failure,2010,-0.979066,-0.280635,-3.05486
0,47,executives,married,jul,intermediate,0,1,0,wed,2,0,nonexistent,2008,1.13421,1.17812,-0.327017
0,37,employees,married,may,intermediate,0,0,0,tue,5,0,nonexistent,2009,-0.789317,-0.689088,0.949409
0,41,employees,divorced,jul,intermediate,0,0,0,wed,1,0,nonexistent,2008,1.13368,1.17812,-0.327017
